DataType,Filter,Name,Month,Events
BarData,Borough,Staten Island,,690
BarData,Borough,Bronx,,1790
BarData,Borough,Queens,,8353
BarData,Borough,Brooklyn,,14809
BarData,Borough,Manhattan,,27720
BarData,Category,Red Carpet/Premiere,,1
BarData,Category,Documentary,,185
BarData,Category,Student,,211
BarData,Category,Music Video,,220
BarData,Category,WEB,,"2,053"
BarData,Category,Still Photography,,"3,304"
BarData,Category,Commercial,,"3,967"
BarData,Category,Theater,,"4,949"
BarData,Category,Film,,"7,231"
BarData,Category,Television,,"31,241"
BarData,Type,DCAS Prep/Shoot/Wrap Permit,,593
BarData,Type,Rigging Permit,,847
BarData,Type,Theater Load in and Load Outs,,"4,935"
BarData,Type,Shooting Permit,,"46,987"
LineData,Borough,Staten Island,2016-01,2
LineData,Borough,Bronx,2016-01,18
LineData,Borough,Queens,2016-01,173
LineData,Borough,Brooklyn,2016-01,192
LineData,Borough,Manhattan,2016-01,336
LineData,Borough,All Boroughs,2016-01,721
LineData,Borough,Staten Island,2016-02,3
LineData,Borough,Bronx,2016-02,16
LineData,Borough,Queens,2016-02,145
LineData,Borough,Brooklyn,2016-02,225
LineData,Borough,Manhattan,2016-02,375
LineData,Borough,All Boroughs,2016-02,764
LineData,Borough,Staten Island,2016-03,4
LineData,Borough,Bronx,2016-03,15
LineData,Borough,Queens,2016-03,192
LineData,Borough,Brooklyn,2016-03,298
LineData,Borough,Manhattan,2016-03,559
LineData,Borough,All Boroughs,2016-03,"1,068"
LineData,Borough,Staten Island,2016-04,5
LineData,Borough,Bronx,2016-04,18
LineData,Borough,Queens,2016-04,131
LineData,Borough,Brooklyn,2016-04,262
LineData,Borough,Manhattan,2016-04,629
LineData,Borough,All Boroughs,2016-04,"1,045"
LineData,Borough,Staten Island,2016-05,7
LineData,Borough,Bronx,2016-05,12
LineData,Borough,Queens,2016-05,115
LineData,Borough,Brooklyn,2016-05,216
LineData,Borough,Manhattan,2016-05,467
LineData,Borough,All Boroughs,2016-05,817
LineData,Borough,Bronx,2016-06,28
LineData,Borough,Queens,2016-06,89
LineData,Borough,Brooklyn,2016-06,275
LineData,Borough,Manhattan,2016-06,501
LineData,Borough,All Boroughs,2016-06,893
LineData,Borough,Staten Island,2016-07,17
LineData,Borough,Bronx,2016-07,26
LineData,Borough,Queens,2016-07,153
LineData,Borough,Brooklyn,2016-07,296
LineData,Borough,Manhattan,2016-07,582
LineData,Borough,All Boroughs,2016-07,"1,074"
